Metric,Value
path_length,57.9865428352645
planning_time,0
planning_success,1
trajectory_length,57.1602920405877
mean_tracking_error,1.17918545587416
max_tracking_error,2.74247416491494
rms_tracking_error,1.34692329620695
final_tracking_error,2.60043323193025
mean_curvature,0.378213043064438
max_curvature,1.00000000000002
mean_jerk,0.631839102554443
max_jerk,20.0000000000009
mean_velocity_change,0.113109637850138
max_velocity_change,1.99999999999997
mean_omega_change,2.4973505248925
max_omega_change,26.4904462506457
total_velocity_effort,58.6402920405878
total_omega_effort,11.1370742630171
cbf_activation_count,44
cbf_activation_rate,16.793893129771
cbf_duration,4.4
min_obstacle_distance,0.823559137395475
mean_obstacle_distance,7.23650207867689
safety_violations,0
safety_maintained,1
simulation_duration,26.1
num_steps,262
mean_step_time,0.1
execution_success,1
overall_success,1
path_efficiency,0.952049755755759
avg_velocity,2.19004950347079
